fecha;contagio.ppl;contagio.fx;muerte.ppl;muerte.fx;recupera.ppl;recupera.fx;contagio.est.ppl;contagio.est.fx
07-04-20;17;31;0;0;NA;NA;NA;NA
08-04-20;17;31;0;0;NA;NA;NA;NA
09-04-20;20;39;0;0;NA;NA;NA;NA
10-04-20;21;46;0;0;NA;NA;NA;NA
11-04-20;22;50;0;0;NA;NA;NA;NA
12-04-20;24;56;0;0;NA;NA;NA;NA
13-04-20;24;59;0;0;NA;NA;NA;NA
14-04-20;26;70;0;0;NA;NA;NA;NA
15-04-20;26;76;0;0;NA;NA;NA;NA
16-04-20;33;104;0;0;NA;NA;NA;NA
17-04-20;36;107;0;0;NA;NA;NA;NA
18-04-20;40;112;0;0;NA;NA;NA;NA
19-04-20;61;112;0;0;NA;NA;NA;NA
20-04-20;76;117;0;0;NA;NA;NA;NA
21-04-20;77;119;0;0;NA;NA;NA;NA
22-04-20;100;129;0;0;NA;NA;NA;NA
23-04-20;110;134;0;0;NA;NA;NA;NA
24-04-20;123;143;0;0;NA;NA;NA;NA
25-04-20;125;155;0;0;NA;NA;NA;NA
26-04-20;150;162;0;0;NA;NA;NA;NA
27-04-20;162;164;0;0;NA;NA;NA;NA
28-04-20;163;169;0;0;NA;NA;NA;NA
29-04-20;163;178;0;0;NA;NA;NA;NA
30-04-20;163;181;0;0;NA;NA;NA;NA
01-05-20;174;203;0;0;NA;NA;NA;NA
02-05-20;176;211;0;0;NA;NA;NA;NA
03-05-20;187;211;0;0;NA;NA;NA;NA
04-05-20;243;214;0;0;NA;NA;NA;NA
05-05-20;368;220;0;0;NA;NA;NA;NA
06-05-20;370;219;0;0;NA;NA;NA;NA
07-05-20;370;221;0;0;NA;NA;NA;NA
08-05-20;371;224;0;0;NA;NA;NA;NA
09-05-20;372;224;0;0;NA;NA;NA;NA
10-05-20;376;225;0;0;NA;NA;NA;NA
11-05-20;376;225;0;0;NA;NA;NA;NA
12-05-20;378;237;0;0;NA;NA;NA;NA
13-05-20;378;238;0;0;NA;NA;NA;NA
14-05-20;381;243;0;0;NA;NA;NA;NA
15-05-20;385;246;0;0;NA;NA;NA;NA
16-05-20;390;252;0;0;NA;NA;NA;NA
17-05-20;392;254;0;0;NA;NA;NA;NA
18-05-20;393;257;0;0;NA;NA;NA;NA
19-05-20;395;260;0;0;NA;NA;NA;NA
20-05-20;419;266;0;0;NA;NA;166,6666667;166,6666667
21-05-20;424;270;0;0;NA;NA;166,6666667;166,6666667
22-05-20;425;280;0;0;NA;NA;500;166,6666667
23-05-20;430;294;0;0;NA;NA;500;166,6666667
24-05-20;431;302;0;0;NA;NA;500;166,6666667
25-05-20;431;308;0;0;NA;NA;500;166,6666667
26-05-20;432;331;0;0;NA;NA;500;166,6666667
27-05-20;433;355;0;0;NA;NA;500;166,6666667
28-05-20;435;368;0;0;NA;NA;500;166,6666667
29-05-20;437;383;0;0;NA;NA;500;166,6666667
30-05-20;439;396;0;0;NA;NA;500;166,6666667
31-05-20;443;430;0;0;NA;NA;500;166,6666667
01-06-20;450;449;0;0;NA;NA;666,6666667;166,6666667
02-06-20;451;482;0;0;NA;NA;833,3333333;166,6666667
03-06-20;458;493;1;1;307;88;833,3333333;166,6666667
04-06-20;459;506;1;1;307;90;1000;166,6666667
05-06-20;465;518;3;1;330;90;1000;333,3333333
06-06-20;476;568;3;1;337;95;1000;333,3333333
07-06-20;480;575;3;1;337;96;1000;333,3333333
08-06-20;481;588;3;1;340;96;1000;333,3333333
09-06-20;493;631;3;1;341;96;1000;333,3333333
10-06-20;509;644;3;1;341;97;1000;333,3333333
11-06-20;551;668;3;1;369;98;1166,666667;333,3333333
12-06-20;551;688;3;1;375;99;1166,666667;333,3333333
13-06-20;558;704;3;1;378;103;1166,666667;333,3333333
14-06-20;559;718;3;1;378;104;1166,666667;333,3333333
15-06-20;562;722;4;1;378;105;1333,333333;333,3333333
16-06-20;568;756;5;1;380;125;1333,333333;333,3333333
17-06-20;572;769;5;1;388;126;1333,333333;333,3333333
18-06-20;602;802;6;1;394;128;1333,333333;333,3333333
19-06-20;608;835;6;2;395;130;1333,333333;333,3333333
20-06-20;613;846;6;2;409;135;1333,333333;333,3333333
21-06-20;623;854;6;2;409;365;1333,333333;333,3333333
22-06-20;710;860;6;2;409;365;1333,333333;333,3333333
23-06-20;720;867;6;2;413;389;1333,333333;333,3333333
24-06-20;729;885;6;2;421;393;1500;333,3333333
25-06-20;738;899;7;2;421;401;1500;333,3333333
26-06-20;746;917;7;2;429;464;1500;333,3333333
27-06-20;761;928;7;2;430;466;1500;333,3333333
28-06-20;763;945;7;2;432;521;1500;333,3333333
29-06-20;764;950;8;2;432;523;1500;333,3333333
30-06-20;764;955;8;2;433;529;1500;333,3333333
01-07-20;790;960;8;2;460;539;1500;333,3333333
02-07-20;827;973;8;2;468;555;1500;333,3333333
03-07-20;860;986;8;2;468;568;1500;333,3333333
04-07-20;862;998;8;2;525;640;1666,666667;333,3333333
05-07-20;868;999;8;2;526;641;1666,666667;333,3333333
06-07-20;874;1005;8;2;526;723;1666,666667;333,3333333
07-07-20;922;1014;8;2;558;739;1666,666667;333,3333333
08-07-20;928;1017;9;2;646;762;1666,666667;333,3333333
09-07-20;935;1020;9;2;648;794;0;0
10-07-20;951;1028;9;2;656;805;0;0
11-07-20;981;1037;9;2;666;834;0;0
12-07-20;991;1040;9;2;693;834;0;0
13-07-20;1018;1043;9;2;693;834;0;0
14-07-20;1033;1049;9;2;695;847;0;0
15-07-20;1038;1063;9;2;702;865;0;0
16-07-20;1076;1071;9;2;754;888;0;0
17-07-20;1094;1072;9;2;755;888;0;0
18-07-20;1137;1076;10;2;817;899;0;0
19-07-20;1138;1077;10;2;817;907;0;0
20-07-20;1164;1080;10;2;817;910;0;0
21-07-20;1217;1085;10;2;826;914;0;0
22-07-20;1219;1091;10;2;830;922;0;0
